Nacional;Comunidades y Ciudades Autónomas;Covid-19;Sexo;Semana de defunción;Total
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM34;99
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM35;90
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM36;102
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM37;89
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM38;97
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM39;71
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM40;92
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM41;95
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM42;80
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM43;86
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM44;75
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM45;80
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM46;93
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM47;90
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM48;76
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM49;91
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM50;92
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM51;74
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM52;104
Total Nacional;04 Balears, Illes;Otras causas;Hombres;2021SM53;82
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;Total;4.257
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM01;29
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM02;74
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM03;85
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM04;83
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM05;91
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM06;100
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM07;77
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM08;79
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM09;77
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM10;92
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM11;82
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM12;85
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM13;89
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM14;82
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM15;82
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM16;73
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM17;73
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM18;78
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM19;77
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM20;81
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM21;81
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM22;69
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM23;74
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM24;71
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM25;91
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM26;77
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM27;76
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM28;95
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM29;72
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM30;93
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM31;93
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM32;96
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM33;92
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM34;84
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM35;79
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM36;102
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM37;89
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM38;83
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM39;70
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM40;74
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM41;77
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM42;86
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM43;84
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM44;78
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM45;69
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM46;80
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM47;60
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM48;88
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM49;74
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM50;76
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM51;77
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM52;78
Total Nacional;04 Balears, Illes;Otras causas;Mujeres;2021SM53;80
Total Nacional;05 Canarias;Total;Total;Total;19.222
Total Nacional;05 Canarias;Total;Total;2021SM01;126
Total Nacional;05 Canarias;Total;Total;2021SM02;423
Total Nacional;05 Canarias;Total;Total;2021SM03;469
Total Nacional;05 Canarias;Total;Total;2021SM04;488
Total Nacional;05 Canarias;Total;Total;2021SM05;478
Total Nacional;05 Canarias;Total;Total;2021SM06;414
Total Nacional;05 Canarias;Total;Total;2021SM07;421
Total Nacional;05 Canarias;Total;Total;2021SM08;362
Total Nacional;05 Canarias;Total;Total;2021SM09;388
Total Nacional;05 Canarias;Total;Total;2021SM10;367
Total Nacional;05 Canarias;Total;Total;2021SM11;354
Total Nacional;05 Canarias;Total;Total;2021SM12;389
Total Nacional;05 Canarias;Total;Total;2021SM13;390
Total Nacional;05 Canarias;Total;Total;2021SM14;390
Total Nacional;05 Canarias;Total;Total;2021SM15;356
Total Nacional;05 Canarias;Total;Total;2021SM16;375
Total Nacional;05 Canarias;Total;Total;2021SM17;345
Total Nacional;05 Canarias;Total;Total;2021SM18;361
Total Nacional;05 Canarias;Total;Total;2021SM19;375
Total Nacional;05 Canarias;Total;Total;2021SM20;360
Total Nacional;05 Canarias;Total;Total;2021SM21;332
Total Nacional;05 Canarias;Total;Total;2021SM22;350
Total Nacional;05 Canarias;Total;Total;2021SM23;340
Total Nacional;05 Canarias;Total;Total;2021SM24;323
Total Nacional;05 Canarias;Total;Total;2021SM25;337
Total Nacional;05 Canarias;Total;Total;2021SM26;325
Total Nacional;05 Canarias;Total;Total;2021SM27;376
Total Nacional;05 Canarias;Total;Total;2021SM28;345
Total Nacional;05 Canarias;Total;Total;2021SM29;370
Total Nacional;05 Canarias;Total;Total;2021SM30;389
Total Nacional;05 Canarias;Total;Total;2021SM31;423
Total Nacional;05 Canarias;Total;Total;2021SM32;359
Total Nacional;05 Canarias;Total;Total;2021SM33;363
Total Nacional;05 Canarias;Total;Total;2021SM34;327
Total Nacional;05 Canarias;Total;Total;2021SM35;348
Total Nacional;05 Canarias;Total;Total;2021SM36;309
Total Nacional;05 Canarias;Total;Total;2021SM37;321
Total Nacional;05 Canarias;Total;Total;2021SM38;342
Total Nacional;05 Canarias;Total;Total;2021SM39;337
Total Nacional;05 Canarias;Total;Total;2021SM40;318
Total Nacional;05 Canarias;Total;Total;2021SM41;337
Total Nacional;05 Canarias;Total;Total;2021SM42;343
Total Nacional;05 Canarias;Total;Total;2021SM43;362
Total Nacional;05 Canarias;Total;Total;2021SM44;337
Total Nacional;05 Canarias;Total;Total;2021SM45;318
Total Nacional;05 Canarias;Total;Total;2021SM46;340
Total Nacional;05 Canarias;Total;Total;2021SM47;368
Total Nacional;05 Canarias;Total;Total;2021SM48;365
Total Nacional;05 Canarias;Total;Total;2021SM49;390
Total Nacional;05 Canarias;Total;Total;2021SM50;388
Total Nacional;05 Canarias;Total;Total;2021SM51;364
Total Nacional;05 Canarias;Total;Total;2021SM52;379
Total Nacional;05 Canarias;Total;Total;2021SM53;366
Total Nacional;05 Canarias;Total;Hombres;Total;10.221
Total Nacional;05 Canarias;Total;Hombres;2021SM01;65
Total Nacional;05 Canarias;Total;Hombres;2021SM02;230
Total Nacional;05 Canarias;Total;Hombres;2021SM03;233
Total Nacional;05 Canarias;Total;Hombres;2021SM04;233
Total Nacional;05 Canarias;Total;Hombres;2021SM05;269
Total Nacional;05 Canarias;Total;Hombres;2021SM06;235
Total Nacional;05 Canarias;Total;Hombres;2021SM07;222
Total Nacional;05 Canarias;Total;Hombres;2021SM08;207
Total Nacional;05 Canarias;Total;Hombres;2021SM09;194
Total Nacional;05 Canarias;Total;Hombres;2021SM10;213
Total Nacional;05 Canarias;Total;Hombres;2021SM11;181
Total Nacional;05 Canarias;Total;Hombres;2021SM12;211
Total Nacional;05 Canarias;Total;Hombres;2021SM13;210
Total Nacional;05 Canarias;Total;Hombres;2021SM14;208
Total Nacional;05 Canarias;Total;Hombres;2021SM15;177
Total Nacional;05 Canarias;Total;Hombres;2021SM16;209
Total Nacional;05 Canarias;Total;Hombres;2021SM17;183
Total Nacional;05 Canarias;Total;Hombres;2021SM18;199
Total Nacional;05 Canarias;Total;Hombres;2021SM19;204
Total Nacional;05 Canarias;Total;Hombres;2021SM20;189
Total Nacional;05 Canarias;Total;Hombres;2021SM21;168
Total Nacional;05 Canarias;Total;Hombres;2021SM22;183
Total Nacional;05 Canarias;Total;Hombres;2021SM23;186
Total Nacional;05 Canarias;Total;Hombres;2021SM24;156
Total Nacional;05 Canarias;Total;Hombres;2021SM25;179
Total Nacional;05 Canarias;Total;Hombres;2021SM26;178
Total Nacional;05 Canarias;Total;Hombres;2021SM27;189
Total Nacional;05 Canarias;Total;Hombres;2021SM28;177
Total Nacional;05 Canarias;Total;Hombres;2021SM29;196
Total Nacional;05 Canarias;Total;Hombres;2021SM30;210
Total Nacional;05 Canarias;Total;Hombres;2021SM31;206
Total Nacional;05 Canarias;Total;Hombres;2021SM32;181
Total Nacional;05 Canarias;Total;Hombres;2021SM33;210
Total Nacional;05 Canarias;Total;Hombres;2021SM34;178
Total Nacional;05 Canarias;Total;Hombres;2021SM35;204
Total Nacional;05 Canarias;Total;Hombres;2021SM36;150
Total Nacional;05 Canarias;Total;Hombres;2021SM37;158
Total Nacional;05 Canarias;Total;Hombres;2021SM38;168
Total Nacional;05 Canarias;Total;Hombres;2021SM39;165
Total Nacional;05 Canarias;Total;Hombres;2021SM40;175
Total Nacional;05 Canarias;Total;Hombres;2021SM41;175
Total Nacional;05 Canarias;Total;Hombres;2021SM42;185
Total Nacional;05 Canarias;Total;Hombres;2021SM43;190
Total Nacional;05 Canarias;Total;Hombres;2021SM44;183
Total Nacional;05 Canarias;Total;Hombres;2021SM45;169
Total Nacional;05 Canarias;Total;Hombres;2021SM46;198
Total Nacional;05 Canarias;Total;Hombres;2021SM47;215
Total Nacional;05 Canarias;Total;Hombres;2021SM48;195
Total Nacional;05 Canarias;Total;Hombres;2021SM49;202
Total Nacional;05 Canarias;Total;Hombres;2021SM50;223
Total Nacional;05 Canarias;Total;Hombres;2021SM51;194
Total Nacional;05 Canarias;Total;Hombres;2021SM52;206
Total Nacional;05 Canarias;Total;Hombres;2021SM53;197
Total Nacional;05 Canarias;Total;Mujeres;Total;9.001
Total Nacional;05 Canarias;Total;Mujeres;2021SM01;61
Total Nacional;05 Canarias;Total;Mujeres;2021SM02;193
Total Nacional;05 Canarias;Total;Mujeres;2021SM03;236
Total Nacional;05 Canarias;Total;Mujeres;2021SM04;255
Total Nacional;05 Canarias;Total;Mujeres;2021SM05;209
Total Nacional;05 Canarias;Total;Mujeres;2021SM06;179
Total Nacional;05 Canarias;Total;Mujeres;2021SM07;199
Total Nacional;05 Canarias;Total;Mujeres;2021SM08;155
Total Nacional;05 Canarias;Total;Mujeres;2021SM09;194
Total Nacional;05 Canarias;Total;Mujeres;2021SM10;154
Total Nacional;05 Canarias;Total;Mujeres;2021SM11;173
Total Nacional;05 Canarias;Total;Mujeres;2021SM12;178
Total Nacional;05 Canarias;Total;Mujeres;2021SM13;180
Total Nacional;05 Canarias;Total;Mujeres;2021SM14;182
Total Nacional;05 Canarias;Total;Mujeres;2021SM15;179
Total Nacional;05 Canarias;Total;Mujeres;2021SM16;166
Total Nacional;05 Canarias;Total;Mujeres;2021SM17;162
Total Nacional;05 Canarias;Total;Mujeres;2021SM18;162
Total Nacional;05 Canarias;Total;Mujeres;2021SM19;171
Total Nacional;05 Canarias;Total;Mujeres;2021SM20;171
Total Nacional;05 Canarias;Total;Mujeres;2021SM21;164
Total Nacional;05 Canarias;Total;Mujeres;2021SM22;167
Total Nacional;05 Canarias;Total;Mujeres;2021SM23;154
Total Nacional;05 Canarias;Total;Mujeres;2021SM24;167
Total Nacional;05 Canarias;Total;Mujeres;2021SM25;158
Total Nacional;05 Canarias;Total;Mujeres;2021SM26;147
Total Nacional;05 Canarias;Total;Mujeres;2021SM27;187
Total Nacional;05 Canarias;Total;Mujeres;2021SM28;168
Total Nacional;05 Canarias;Total;Mujeres;2021SM29;174
Total Nacional;05 Canarias;Total;Mujeres;2021SM30;179
Total Nacional;05 Canarias;Total;Mujeres;2021SM31;217
Total Nacional;05 Canarias;Total;Mujeres;2021SM32;178
Total Nacional;05 Canarias;Total;Mujeres;2021SM33;153
Total Nacional;05 Canarias;Total;Mujeres;2021SM34;149
Total Nacional;05 Canarias;Total;Mujeres;2021SM35;144
Total Nacional;05 Canarias;Total;Mujeres;2021SM36;159
Total Nacional;05 Canarias;Total;Mujeres;2021SM37;163
Total Nacional;05 Canarias;Total;Mujeres;2021SM38;174
Total Nacional;05 Canarias;Total;Mujeres;2021SM39;172
Total Nacional;05 Canarias;Total;Mujeres;2021SM40;143
Total Nacional;05 Canarias;Total;Mujeres;2021SM41;162
Total Nacional;05 Canarias;Total;Mujeres;2021SM42;158
Total Nacional;05 Canarias;Total;Mujeres;2021SM43;172
Total Nacional;05 Canarias;Total;Mujeres;2021SM44;154
Total Nacional;05 Canarias;Total;Mujeres;2021SM45;149
Total Nacional;05 Canarias;Total;Mujeres;2021SM46;142
Total Nacional;05 Canarias;Total;Mujeres;2021SM47;153
Total Nacional;05 Canarias;Total;Mujeres;2021SM48;170
Total Nacional;05 Canarias;Total;Mujeres;2021SM49;188
Total Nacional;05 Canarias;Total;Mujeres;2021SM50;165
Total Nacional;05 Canarias;Total;Mujeres;2021SM51;170
Total Nacional;05 Canarias;Total;Mujeres;2021SM52;173
Total Nacional;05 Canarias;Total;Mujeres;2021SM53;169
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;Total;1.384
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM01;11
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM02;60
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM03;59
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM04;75
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM05;94
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM06;69
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM07;55
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM08;31
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM09;28
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM10;28
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM11;23
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM12;20
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM13;22
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM14;22
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM15;34
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM16;30
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM17;24
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM18;24
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM19;22
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM20;16
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM21;17
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM22;18
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM23;20
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM24;23
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM25;27
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM26;24
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM27;42
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM28;41
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM29;38
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM30;40
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM31;59
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM32;31
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM33;30
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM34;18
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM35;21
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM36;10
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM37;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM38;12
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM39;9
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM40;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM41;6
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM42;12
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM43;10
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM44;11
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM45;5
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM46;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM47;15
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM48;8
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM49;9
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM50;16
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM51;14
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM52;18
Total Nacional;05 Canarias;Covid-19 Virus identificado;Total;2021SM53;12
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;Total;743
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM01;5
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM02;40
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM03;28
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM04;38
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM05;51
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM06;40
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM07;29
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM08;21
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM09;14
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM10;14
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM11;9
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM12;15
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM13;10
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM14;15
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM15;18
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM16;14
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM17;10
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM18;13
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM19;11
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM20;9
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM21;5
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM22;9
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM23;13
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM24;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM25;14
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM26;14
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM27;23
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM28;23
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM29;20
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM30;21
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM31;34
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM32;16
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM33;17
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM34;10
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM35;14
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM36;4
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM37;0
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM38;5
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM39;5
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM40;5
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM41;0
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM42;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM43;6
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM44;6
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM45;4
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM46;4
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM47;8
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM48;2
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM49;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM50;9
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM51;9
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM52;10
Total Nacional;05 Canarias;Covid-19 Virus identificado;Hombres;2021SM53;8
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;Total;641
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM01;6
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM02;20
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM03;31
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM04;37
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM05;43
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM06;29
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM07;26
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM08;10
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM09;14
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM10;14
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM11;14
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM12;5
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM13;12
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM14;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM15;16
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM16;16
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM17;14
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM18;11
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM19;11
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM20;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM21;12
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM22;9
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM23;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM24;16
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM25;13
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM26;10
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM27;19
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM28;18
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM29;18
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM30;19
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM31;25
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM32;15
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM33;13
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM34;8
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM35;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM36;6
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM37;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM38;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM39;4
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM40;2
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM41;6
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM42;5
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM43;4
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM44;5
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM45;1
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM46;3
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM47;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM48;6
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM49;2
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM50;7
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM51;5
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM52;8
Total Nacional;05 Canarias;Covid-19 Virus identificado;Mujeres;2021SM53;4
